qid,P31,P1476,P170,P571,P276,P195,P186,P2048,P2049,P2610,P217,P528,P1431
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Size/Shape (Destiny)""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""SIZE /SHAPE (DESTINY)""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Schwarzweißfotografien""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,198,259,,,,Q138573075
CREATE,,"""WALLPAPER: PRETZEL AND EAR""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Tapeten, Maße variabel/Wallpapers, dimensions vary""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Size/Shape Destiny""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Untitled""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Ink-jet auf Leinwand""@en",,,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,190,152,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,"10,0",Q138573075
CREATE,,"""Untitled""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Ink-jet auf Leinwand""@en",,,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,190,152,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Shoes seem to be the last emblem or vestige of some person""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Sometimes | think images can say more than words""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""University Presses of Florida""@en",,+1978-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""This is Not to Be Looked at""@en",,+1966-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""In the Goya Series""@en",,,Q673907,Q673907,Q125191,,,,,,Q138573075
CREATE,,"""This Is Not To Be Looked At""@en",,+1966-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""ELBOW SERIES: AUK""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,213,213,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""gita!""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,233,239,,,,Q138573075
CREATE,,"""EIRAD SERIES: REAL SHADOWS""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,239,239,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1992-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Flying Saucer: Rainbow/Two Cyclists/Dog/Gorilla and Bananas/Chaotic Situ. ation/Couple/Tortoise/Gunman (Fallen)""@en",,+1992-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Three Running Figures (One Splashed), Trash Cans, and Poles (With Large Blue Shape)""@en",,+1995-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Three Running Figures (One Splashed), Trash Cans, and Poles (With Large Blue Shape)""@en",,+1995-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,Q125191,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q125191,"""Telephone (for Kafka)""@en",,+1991-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q125191,"""Telephone (for Kafka)""@en",,+1991-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1987-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,Q312793,+1966-00-00T00:00:00Z/9,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,"""A Work by...""@en",Q312793,+1966-00-00T00:00:00Z/9,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,"""Untitled""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q125191,,,,Q673907,Q673907,Q207849,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,156,225,,,,Q138573075
CREATE,,,Q312793,+1987-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""BOX""@en",,+1987-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,Q207849,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,122,122,,,,Q138573075
CREATE,,"""HANDS/FEET""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Schwarzweißfotografien""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,244,96,105,,267,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Periodizing Critics""@en",,+1987-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,Number 1,Q138573075
CREATE,,"""The Aesthetics of Post-History""@en",,+1995-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,S. 121 f.,Q138573075
CREATE,,"""The Aesthetics of Post-History""@en",,+1995-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,Vision and Textuality,Q138573075
CREATE,,,,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Untitled""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,Unknown,Unknown,Q138573075
CREATE,Q125191,"""Olfarbe auf Silbergelatinefotografien, aufgezogen auf Aluminium""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,305,406,,,,Q138573075
CREATE,,"""MAN RUNNING/MEN CARRYING BOX""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,123,268,,,,Q138573075
CREATE,,"""THREE ACTIVE PERSONS 7 WITH STANDING PERSON""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1990-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Color photographs, vinyl paint""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,234,147,,,,Q138573075
CREATE,,"""TWO VOIDED BOOKS""@en",,+1990-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Schwarzweißfotografien, Vinylfarbe""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,157,245,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1991-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Farbfotografie, Schwarzweiß-""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""fotografie""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q125191,"""white photograph""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,487.68,243.84,,,,Q138573075
CREATE,,,,+1992-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q125191,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,250,219,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,203,119,,,,Q138573075
CREATE,,,,+1992-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,259,411,,,,Q138573075
CREATE,,,,+1992-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,249,210,,,,Q138573075
CREATE,,"""RED AND GREEN LINES""@en",,+1994-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,Q207849,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,166,215,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q93184,"""Ölkreide""@en",,,Q673907,Q673907,Q14674,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,Q207849,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,255,229,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""SUNNY DONUTS""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,,,,Q673907,Q673907,Q207849,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""LOURDES RESTAURANT""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""STAR THEATER""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""EARLE SCHEIB AUTO PAINTING""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""PINK PIG""@en",,,Q673907,Q673907,,,,,,"2305 HIGHLAND AVES, NATIONAL CITY, CALIF.",Q138573075
CREATE,,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,724 HIGHLAND AVENUE,Q138573075
CREATE,,"""LOURDES RESTAURANT FORMER SITE OF DUCK POND BAR""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""STAR THEATER""@en",,,Q673907,Q673907,,,,,,1121 EAST SECOND STREET,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""ARRIVE (WITH MOTIVES AND REASONS)""@en",,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,235,327,,,,Q138573075
CREATE,,,,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,190,152,,,,Q138573075
CREATE,,"""GOYA SERIES: AS IS 1997""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,190,152,,,,Q138573075
CREATE,,"""GOYA SERIES: SO MUCH AND MORE""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,190,152,,,,Q138573075
CREATE,,"""GOYA SERIES: AND 1997""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,190,152,,,,Q138573075
CREATE,,,,+1998-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""GOYA SERIES: THESE 1997""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,190,152,,,,Q138573075
CREATE,,"""Untitled""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,"""Abstract Composition""@en",,+1948-00-00T00:00:00Z/9,Q673907,Q673907,Q4259259,,,,,EXH0023,Q138573075
CREATE,,"""LAMP""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,183,183,,,,Q138573075
CREATE,Q3305213,"""Untitled""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""PLANT (ROTTERDAM #3)""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,183,183,,,#3,Q138573075
CREATE,Q3305213,"""Still Life with Fruit and Flowers""@en",,1609,Q673907,Q673907,Q296955,82.5,117.5,,3456,098-1609-01,Q138573075
CREATE,Q125191,"""Installation photograph of L A MP""@en",,,Q673907,Q673907,Q11472,,,,,,Q138573075
CREATE,Q3305213,"""Still Life with Fruit and Flowers""@en",,1609,Q673907,Q673907,Q296955,82.5,134.6,,INV12345,CAT00789,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""ELBOW SERIES: EMU""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Ink-jet auf Leinwand, Folio D Prozeß auf Vinyl""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,213.5,213.5,,,,Q138573075
CREATE,Q3305213,"""Still Life with Fruit and Flowers""@en",,+1865-00-00T00:00:00Z/9,Q673907,Q673907,Q296955,70,92,,INV12345,CAT67890,Q138573075
CREATE,,"""ELBOW SERIES: YAK""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,213.5,213.5,,,,Q138573075
CREATE,Q3305213,"""Landscape with Figures""@en",,+1874-00-00T00:00:00Z/9,Q673907,Q673907,Q296955,,,,INV-002345,CAT-1874.23,Q138573075
CREATE,,"""ELBOW SERIES: AUK""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Folio D Prozeß""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,213.5,213.5,,,,Q138573075
CREATE,Q3305213,"""Landscape with Figures""@en",,18th century,Q673907,Q673907,Q296955,,,,INV123456,CAT098765,Q138573075
CREATE,,"""ELBOW SERIES: GNU 1999""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Ink-jet auf Leinwand, Folio D Prozeß auf Vinyl""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,213.5,213.5,,,,Q138573075
CREATE,Q3305213,"""Still Life with Fruit and Flowers""@en",,+1913-00-00T00:00:00Z/9,Q673907,Q673907,,,,,12456B,CAT00987,Q138573075
CREATE,,"""TETRAD SERIES: REAL SHADOWS""@en",,+1989-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,239,239,,,,Q138573075
CREATE,Q3305213,"""Still Life with Fruit and Vegetables""@en",,+1897-00-00T00:00:00Z/9,Q673907,Q673907,Q296955,65,80,,INV12345,CAT98765,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,239,239,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1931-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1949-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1954-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1955-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1955-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,207,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Untitled""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""1997 Governor's Award for Lifetime Achievement""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""1996 Oskar Kokoschka Prize""@en",,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,"""Untitled""@en",,,Q673907,Q673907,,120,90,,INV-345678,CAT-098765,Q138573075
CREATE,,"""While something is hap- pening here, something else is happening there""@en",Q312793,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""While something is hap- pening here, something else is happening there""@en",Q312793,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""The Tetrad Series""@en",Q312793,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""The Elbow Series 1999""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""The Goya Series""@en",Q312793,+1998-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Tele Dolca Llar & Baldessari 4 HAB""@en",,,Q673907,Q673907,Q11472,,,,,a / Vtes.,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""John Baldessari 1990-1996""@en",Q312793,+1990-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""John Baldessari National City Paintings from 1967 and 1996""@en",Q312793,+1967-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,Q312793,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""john Baldessari""@en",Q312793,+1995-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1990-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1986-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""John Baldessari: MATRIX BERKELEY 94""@en",Q312793,+1994-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,BERKELEY 94,Q138573075
CREATE,,,,+1985-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1981-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""John Baldessari: Work 1966-1980""@en",Q312793,+1966-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Sight Gags, Grotesque, Caricature, and Wit in Modern and Contemporary Drawing""@en",,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""\""Th h € Lure of Language\""""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""47 International Art Exhibition""@en",,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Scene of the Crime""@en",,+1960-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Painting into Photography: Photography into Painting""@en",,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,"""Landscape with Figures""@en",,1630,Q673907,Q673907,Q296955,75,92,,INV4587,CAT1036,Q138573075
CREATE,,"""Reflected Image: A selection of Contemporary Photography from the LAC Collection""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""In the Field: Landscape in Recent Photo""@en",,+1994-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1993-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Construction. Quotation: Collective images in Photography""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1992-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""More than One Photography: Works since 1980 from the Collection""@en",,+1980-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1991-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1990-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1989-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
