title,creator,creator_qid,date,object_type,object_type_qid,materials,materials_qids,height_cm,width_cm,depth_cm,inventory_number,catalog_number,location,exhibited_at,notes
EARLE SCHEIB AUTO PAINTING,John Baldessari,Q312793,1996,painting,Q3305213,Acrylic and photoemulsion on canvas,Q207849,150,114,,,86,Sprengel Museum Hannover,Q673907,
3003 NATIONAL CITY BLVD.,John Baldessari,Q312793,1996,painting,Q3305213,Acrylic and photoemulsion on canvas,Q207849,150,114,,,87,Sprengel Museum Hannover,Q673907,
"Lourdes Restaurant, Pink Pig, Sunny Donuts",John Baldessari,Q312793,1996,Acrylic and photoemulsion on canvas,,Acrylfarbe; Fotoemulsion,,150,114,,,,Sprengel Museum Hannover,Q673907,
Arrive (With Motives and Reasons),John Baldessari,Q312793,1996,"Color photographs, acrylic paint and crayon",,Farbfotografien; Acrylfarbe; Zeichenkreide,,235,327,,,,Sprengel Museum Hannover,Q673907,
Goya Series: There Isn't Time,John Baldessari,Q312793,1997,Inkjet Print and hand lettering on canvas,,Inkjet Print; handgeschriebener Text,Q127418,190,152,,,,Sprengel Museum Hannover,Q673907,
Goya Series: As Is,John Baldessari,Q312793,1997,Ink-jet print and hand lettering on canvas,,Inkjet Print; handgeschriebener Text,Q127418,190,152,,,,Sprengel Museum Hannover,Q673907,
Goya Series: So Much and More,John Baldessari,Q312793,1997,Inkjet Print and hand lettering on canvas,,Inkjet Print; handgeschriebener Text,Q127418,190,152,,,,Sprengel Museum Hannover,Q673907,
Goya Series: And,John Baldessari,Q312793,1997,Ink jet and synthetic polymer paint on canvas,,Inkjet; synthetische Polymerfarbe,Q127418,190,152,,,,Sprengel Museum Hannover,Q673907,
Goya Series: These 700 and 100,John Baldessari,Q312793,1997,Ink-jet print and hand lettering on canvas,,Inkjet Print; handgeschriebener Text,Q127418,190,152,,,,Sprengel Museum Hannover,Q673907,
Plant (Rotterdam #3),John Baldessari,Q312793,1997-98,Black and white photograph,,Schwarzweißfotografie,,183,183,,,,Sprengel Museum Hannover,Q673907,
Lamp (Rotterdam #3),John Baldessari,Q312793,1997-98,Black and white photograph,,Schwarzweißfotografie,,183,183,,,,Sprengel Museum Hannover,Q673907,
Elbow Series: Emu,John Baldessari,Q312793,1999,"Ink-jet on canvas, Folio D process on vinyl, hand lettering and acrylic paint",,Inkjet; handgeschriebener Text; Acrylfarbe,Q127418,213.5,213.5,,,,Sprengel Museum Hannover,Q673907,
ELBOW SERIES: YAK,John Baldessari,Q312793,1999,Painting,Q3305213,Ink-jet on canvas; Folio D process on vinyl; hand lettering and acrylic paint,Q4259259; Q207849,213.5,213.5,,,57,Sprengel Museum Hannover,Q673907,
ELBOW SERIES: AUK,John Baldessari,Q312793,1999,Painting,Q3305213,Ink-jet on canvas; Folio D process on vinyl; hand lettering and acrylic paint,Q4259259; Q207849,213.5,213.5,,,58,Sprengel Museum Hannover,Q673907,
ELBOW SERIES: GNU,John Baldessari,Q312793,1999,Painting,Q3305213,Ink-jet on canvas; Folio D process on vinyl; hand lettering and acrylic paint,Q4259259; Q207849,213.5,213.5,,,59,Sprengel Museum Hannover,Q673907,
TETRAD SERIES: REAL SHADOWS,John Baldessari,Q312793,1989,Painting,Q3305213,Digital printing; hand lettering; acrylic paint on canvas,Q207849,239,239,,,60,Sprengel Museum Hannover,Q673907,
TETRAD SERIES. ALL GETTING ON TOGETHER,John Baldessari,Q312793,1999,Painting,Q3305213,Digital printing; hand lettering; acrylic paint on canvas,Q207849,239,239,,,61,Sprengel Museum Hannover,Q673907,
Teaching a Plant the Alphabet,John Baldessari,Q312793,1972,Super-8 film loop (originally 16 mm),,color; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Taking a Slate: Ilene and David (#2),John Baldessari,Q312793,1974,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Isocephaly,John Baldessari,Q312793,1968,Super-8 film,,color,,,,,,,Sprengel Museum Hannover,Q673907,
Taking a Slate: David,John Baldessari,Q312793,1974,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
How We Do Art Now,John Baldessari,Q312793,1973,video loop,,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
What to Leave Out,John Baldessari,Q312793,1968,Super-8 film,,color,,,,,,,Sprengel Museum Hannover,Q673907,
Cremation,John Baldessari,Q312793,1970,16 mm film,,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
New York City Art History,John Baldessari,Q312793,1971,Super-8 film,,color,,,,,,,Sprengel Museum Hannover,Q673907,
The Eye Does Not Naturally Pan,John Baldessari,Q312793,1972-73,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Folding Hat: Version 1,John Baldessari,Q312793,1970,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Folding Hat,John Baldessari,Q312793,1970,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Black-Out,John Baldessari,Q312793,1971,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Black Painting,John Baldessari,Q312793,1970,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Easel Painting,John Baldessari,Q312793,1972-73,Super-8 film loop (originally 16 mm),,color,,,,,,,Sprengel Museum Hannover,Q673907,
Black Curtain,John Baldessari,Q312793,1970,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Life Drawing,John Baldessari,Q312793,1970,Super-8 film loop (originally 16 mm),,black-and-white; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Time-Temperature,John Baldessari,Q312793,1972-73,Super-8 film loop (originally 16 mm),,color,,,,,,,Sprengel Museum Hannover,Q673907,
Walking Forward - Running Past,John Baldessari,Q312793,1972,Super-8 film loop (originally 16 mm),,color,,,,,,,Sprengel Museum Hannover,Q673907,
Proust,John Baldessari,Q312793,1970s,film loop,,16 mm; color,,,,,,,Sprengel Museum Hannover,Q673907,
Water to Wine to Water,John Baldessari,Q312793,1972-73,Super-8 film loop,,color,,,,,,,Sprengel Museum Hannover,Q673907,
The Hollywood Film,John Baldessari,Q312793,1972-73,Super-8 film loop,,color; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Police Drawing,John Baldessari,Q312793,1971,black-and-white,,color; sound,,,,,,,Sprengel Museum Hannover,Q673907,
Throwing Leaves Back at Tree,John Baldessari,Q312793,1973,Super-8 film loop,,color; sound,,,,,,,Sprengel Museum Hannover,Q673907,
The Italian Tape,John Baldessari,Q312793,1974,black-and-white film loop,,color,,,,,,,Sprengel Museum Hannover,Q673907,
Ice Cubes Sliding,John Baldessari,Q312793,1974,Super-8 film loop,,color,,,,,,,Sprengel Museum Hannover,Q673907,
Inventory,John Baldessari,Q312793,1972,black-and-white film loop,,,,,,,,,Sprengel Museum Hannover,Q673907,
Two Colorful Melodies,John Baldessari,Q312793,1977,color film loop,,sound,,,,,,,Sprengel Museum Hannover,Q673907,
